belongtoLv-int,bodyCapacity-int,captureHp-int,captureSkillCastPool-int[][],combatDist-int,combatPotentiality-int[],desc-string,exp-int,farmPotentiality-int[],favoriteItem-int[],gatherPotentiality-int[],icon-string,id-int,initialAttribute-int[][],lockEnemyRange-int,name-string,progressScore-int,pushDist-int,pushDmg-int,roleAssetID-int,skillCastPool-int[][],tokenTaskLevel-int[],totemScore-int,dropId-int
999,66,40,"169,100",5000,"537,565",Big Dryad,15,"537,565",30,"537,565",monster-icon-4,4,"13,137,1;15,152,1;11,1518,1;19,5,0;20,50,0;14,1,0;16,110,0;17,110,0;7,500,0;12,10,0",240,大幹樹靈,0,30,20,13,"34,100",999,0,
1,30,20,"169,100",3000,"500,537",,14,"500,537",6961,"500,537",monster-icon-6,6,"13,100,1;15,100,1;11,1000,1;19,5,0;20,50,0;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",500,金屬狗,2,30,20,10,"179,100;359,100;31,100","0, 1",1,7
1,30,20,"169,100",4000,"500,537",,15,"500,537",6961,"500,537",monster-icon-7,7,"13,100,1;15,90,1;11,900,1;19,5,0;20,50,0;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",500,南瓜惡魔,2,30,20,11,"32,100;180,100;40,100;361,100","0, 1",1,8
1,30,20,"169,100",3000,"500,537",,14,"500,537",6961,"500,537",monster-icon-8,8,"13,95,1;15,105,1;11,1050,1;19,5,0;20,50,0;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",500,仙人掌戰士,2,30,30,12,"33,100;181,100;360,100","0, 1",1,9
2,30,30,"169,100",3000,"520,552",,20,"520,552",6961,"520,552",monster-icon-9,9,"13,125,1;15,138,1;11,1381,1;19,5,0;20,50,0;14,1,0;16,105,0;17,105,0;7,500,0;12,10,0",1500,礦礦貓,4,30,20,28,"112,100;184,100;363,100",2,0,10
2,30,30,"169,100",3000,"520,552",,22,"520,552",6961,"520,552",monster-icon-10,10,"13,132,1;15,132,1;11,1316,1;19,5,0;20,50,0;14,1,0;16,105,0;17,105,0;7,500,0;12,10,0",1500,葉狀潛伏者,4,30,20,29,"111,100;183,100;364,100",2,0,11
2,30,30,"169,100",4000,"520,552",,21,"520,552",6961,"520,552",monster-icon-11,11,"13,132,1;15,118,1;11,1184,1;19,5,0;20,50,0;14,1,0;16,105,0;17,105,0;7,500,0;12,10,0",1500,嗡嗡蜂,4,30,20,27,"96,100;182,100;346,100;362,100",2,0,12
3,30,40,"169,100",5000,"537,565",,31,"537,565",6961,"537,565",monster-icon-12,12,"13,145,1;15,130,1;11,1301,1;19,5,0;20,50,0;14,1,0;16,110,0;17,110,0;7,500,0;12,10,0",1500,混沌幽靈,8,20,20,37,"206,100;207,100;366,100",3,0,13
3,30,40,"169,100",5000,"537,565",,28,"537,565",6961,"537,565",monster-icon-13,13,"13,145,1;15,145,1;11,1446,1;19,5,0;20,50,0;14,1,0;16,110,0;17,110,0;7,500,0;12,10,0",1500,深紅猛擊者,8,20,20,36,"208,100;209,100;365,100",3,0,14
3,30,40,"169,100",5000,"537,565",,30,"537,565",6961,"537,565",monster-icon-14,14,"13,137,1;15,152,1;11,1518,1;19,5,0;20,50,0;14,1,0;16,110,0;17,110,0;7,500,0;12,10,0",1500,冰霜爪牙,8,10,20,31,"210,100;211,100;367,100",3,0,15
999,50,200010,,0,"520,520",,212,"520,520",,"520,520",monster-icon-18,18,"13,132,1;15,132,1;11,20720,1;19,5,0;20,50,0;14,1,0;16,105,0;17,105,0;7,500,0;12,10,0",1500,賽博瑞茲,4,10,200,56,"369,100;370,100;371,100;513,100",999,6,
999,100,300010,,0,"537,537",,300,"537,537",,"537,537",monster-icon-19,19,"13,145,1;15,145,1;11,23860,1;19,5,0;20,50,0;14,1,0;16,110,0;17,110,0;7,500,0;12,10,0",1500,冰霜領主,8,10,500,57,"372,100;373,100;374,100;513,100",999,9,
999,30,50,"169,100",0,"552,575",,40,"552,575",374383,"552,575",monster-icon-26,26,"13,151,1;15,151,1;11,3010,1;19,5,0;20,50,0;14,1,0;16,115,0;17,115,0;7,500,0;12,10,0",3000,骷髏士兵(異界),16,20,100,58,"393,100",999,4,156
999,50,50,"169,100",0,"552,575",,42,"552,575",375384,"552,575",monster-icon-27,27,"13,143,1;15,158,1;11,3160,1;19,5,0;20,50,0;14,1,0;16,115,0;17,115,0;7,500,0;12,10,0",3000,橙葉蛋頭(異界),16,30,100,59,"394,100",999,4,155
999,30,50,"169,100",0,"552,575",,40,"552,575",376385,"552,575",monster-icon-28,28,"13,143,1;15,158,1;11,3160,1;19,5,0;20,50,0;14,1,0;16,115,0;17,115,0;7,500,0;12,10,0",3000,憤怒樹樁(異界),16,10,100,60,"395,100",999,4,154
999,30,60,"169,100",0,"565,582",,57,"565,582",377386,"565,582",monster-icon-29,29,"13,153,1;15,153,1;11,3068,1;19,5,0;20,50,0;14,1,0;16,120,0;17,120,0;7,500,0;12,10,0",3000,骷髏船長(異界),32,10,150,61,"396,100;417,100",999,0,159
999,50,60,"169,100",0,"565,582",,63,"565,582",378387,"565,582",monster-icon-30,30,"13,145,1;15,160,1;11,3220,1;19,5,0;20,50,0;14,1,0;16,120,0;17,120,0;7,500,0;12,10,0",3000,暗影巨獸(異界),32,20,150,62,"397,100",999,0,158
999,30,60,"169,100",0,"565,582",,60,"565,582",379388,"565,582",monster-icon-31,31,"13,153,1;15,137,1;11,2760,1;19,5,0;20,50,0;14,1,0;16,120,0;17,120,0;7,500,0;12,10,0",3000,黑暗雪精靈(異界),32,30,150,63,"398,100;405,100",999,0,157
999,30,70,"169,100",0,"575,587",,89,"575,587",380389,"575,587",monster-icon-32,32,"13,147,1;15,162,1;11,3250,1;19,5,0;20,50,0;14,1,0;16,125,0;17,125,0;7,500,0;12,10,0",3000,冰殼巨人(異界),64,30,200,64,"399,100",999,0,160
999,30,70,"169,100",0,"575,587",,80,"575,587",381390,"575,587",monster-icon-33,33,"13,155,1;15,139,1;11,2786,1;19,5,0;20,50,0;14,1,0;16,125,0;17,125,0;7,500,0;12,10,0",3000,骷髏弓箭手(異界),64,20,200,65,"400,100;406,100",999,0,162
999,30,70,"169,100",0,"575,587",,84,"575,587",382391,"575,587",monster-icon-34,34,"13,147,1;15,147,1;11,3096,1;19,5,0;20,50,0;14,1,0;16,125,0;17,125,0;7,500,0;12,10,0",3000,兔子巫師(異界),64,10,200,66,"401,100;407,100",999,0,161
999,30,1010,"169,100",0,"1,1",,15,"1,1",6961,"1,1",monster-icon-35,35,"13,100,1;15,1000,1;11,2,1;19,5,0;20,50,0;14,1,0;16,100,0;17,100,0;7,0,0;12,10,0",2500,陷阱_推(異界),0,0,1,67,"402,100",999,1,
999,30,1010,"169,100",0,"1,1",,15,"1,1",,"1,1",monster-icon-36,36,"13,100,1;15,1000,1;11,1,1;19,5,0;20,50,0;14,1,0;16,100,0;17,100,0;7,0,0;12,10,0",1500,陷阱_炸彈,0,0,1,68,"403,100",999,1,
999,150,400010,"169,100",0,"552,552",,424,"552,552",,"552,552",monster-icon-37,37,"13,151,1;15,151,1;11,51920,1;19,5,0;20,50,0;14,1,0;16,115,0;17,115,0;7,500,0;12,10,0",2500,森林之主(異界),16,10,1000,69,"408,100;409,100;422,25;513,100",999,12,188
999,150,500010,"169,100",0,"565,565",,600,"565,565",,"565,565",monster-icon-38,38,"13,153,1;15,153,1;11,55220,1;19,5,0;20,50,0;14,1,0;16,120,0;17,120,0;7,500,0;12,10,0",2500,北極之主(異界),32,10,1000,70,"410,100;411,100;423,25;513,100",999,15,189
999,150,600010,"169,100",0,"575,575",,848,"575,575",,"575,575",monster-icon-39,39,"13,155,1;15,155,1;11,58060,1;19,5,0;20,50,0;14,1,0;16,125,0;17,125,0;7,500,0;12,10,0",2500,靈魂之主(異界),64,10,1000,71,"412,100;413,100;414,100;424,100;513,100",999,18,190
999,150,400010,"169,100",0,"552,552",,424,"552,552",,"552,552",monster-icon-40,40,"13,151,1;15,151,1;11,25960,1;19,5,0;20,50,0;14,1,0;16,115,0;17,115,0;7,500,0;12,10,0",2500,灵魂-森林之主(異界),80,10,1000,72,"408,100;422,25;513,100",999,8,83
999,150,500010,"169,100",0,"565,565",,600,"565,565",,"565,565",monster-icon-41,41,"13,153,1;15,153,1;11,27610,1;19,5,0;20,50,0;14,1,0;16,120,0;17,120,0;7,500,0;12,10,0",2500,灵魂-北极之主(異界),160,10,1000,73,"410,100;423,25;513,100",999,10,
999,150,70,"169,100",0,"575,587",,15,"575,587",,"575,587",monster-icon-42,42,"13,155,1;15,155,1;11,3096,1;19,5,0;20,50,0;14,1,0;16,125,0;17,125,0;7,500,0;12,10,0",2500,战士之魂(異界),0,10,1000,74,"425,100",999,0,
999,150,70,"169,100",0,"575,587",,15,"575,587",,"575,587",monster-icon-43,43,"13,147,1;15,162,1;11,3250,1;19,5,0;20,50,0;14,1,0;16,125,0;17,125,0;7,500,0;12,10,0",2500,坦克之魂(異界),0,10,1000,75,"426,100",999,0,
999,150,70,"169,100",0,"575,587",,15,"575,587",,"575,587",monster-icon-44,44,"13,155,1;15,139,1;11,2786,1;19,5,0;20,50,0;14,1,0;16,125,0;17,125,0;7,500,0;12,10,0",2500,射手之魂(異界),0,10,1000,76,"424,100",999,0,
999,30,20,"169,100",0,"500,537",,14,"500,537",6961,"500,537",monster-icon-45,45,"13,100,1;15,100,1;11,2000,1;19,5,0;20,50,0;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",3000,金属狗(異界),2,30,20,77,"179,100;359,100;31,100",999,1,146
999,30,20,"169,100",0,"500,537",,15,"500,537",6961,"500,537",monster-icon-46,46,"13,100,1;15,90,1;11,1800,1;19,5,0;20,50,0;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",3000,南瓜恶魔(異界),2,30,20,78,"32,100;180,100;40,100;361,100",999,1,147
999,30,20,"169,100",0,"500,537",,14,"500,537",6961,"500,537",monster-icon-47,47,"13,95,1;15,105,1;11,2100,1;19,5,0;20,50,0;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",3000,仙人掌战士(異界),2,30,30,79,"33,100;181,100;360,100",999,1,145
999,30,30,"169,100",0,"520,552",,20,"520,552",6961,"520,552",monster-icon-48,48,"13,125,1;15,138,1;11,2762,1;19,5,0;20,50,0;14,1,0;16,105,0;17,105,0;7,500,0;12,10,0",3000,矿矿猫(異界),4,30,20,80,"112,100;184,100;363,100",999,0,150
999,30,30,"169,100",0,"520,552",,22,"520,552",6961,"520,552",monster-icon-49,49,"13,132,1;15,132,1;11,2632,1;19,5,0;20,50,0;14,1,0;16,105,0;17,105,0;7,500,0;12,10,0",3000,叶状潜伏者(異界),4,30,20,81,"111,100;183,100;364,100",999,0,149
999,30,30,"169,100",0,"520,552",,21,"520,552",6961,"520,552",monster-icon-50,50,"13,132,1;15,118,1;11,2368,1;19,5,0;20,50,0;14,1,0;16,105,0;17,105,0;7,500,0;12,10,0",3000,嗡嗡蜂(異界),4,30,20,82,"96,100;182,100;346,100;362,100",999,0,148
999,30,40,"169,100",0,"537,565",,31,"537,565",6961,"537,565",monster-icon-51,51,"13,145,1;15,130,1;11,2602,1;19,5,0;20,50,0;14,1,0;16,110,0;17,110,0;7,500,0;12,10,0",3000,混沌幽灵(異界),8,20,20,83,"206,100;207,100;366,100",999,0,151
999,30,40,"169,100",0,"537,565",,28,"537,565",6961,"537,565",monster-icon-52,52,"13,145,1;15,145,1;11,2892,1;19,5,0;20,50,0;14,1,0;16,110,0;17,110,0;7,500,0;12,10,0",3000,深红猛击者(異界),8,20,20,84,"208,100;209,100;365,100",999,0,152
999,30,40,"169,100",0,"537,565",,30,"537,565",6961,"537,565",monster-icon-53,53,"13,137,1;15,152,1;11,3036,1;19,5,0;20,50,0;14,1,0;16,110,0;17,110,0;7,500,0;12,10,0",3000,冰霜爪牙(異界),8,10,20,85,"210,100;211,100;367,100",999,0,153
999,50,200010,"169,100",0,"520,520",,212,"520,520",,"520,520",monster-icon-54,54,"13,132,1;15,132,1;11,41440,1;19,5,0;20,50,0;14,1,0;16,105,0;17,105,0;7,500,0;12,10,0",2500,赛博瑞兹(異界),4,10,200,86,"369,100;370,100;371,100;513,100",999,6,186
999,100,300010,"169,100",0,"537,537",,300,"537,537",,"537,537",monster-icon-55,55,"13,145,1;15,145,1;11,47720,1;19,5,0;20,50,0;14,1,0;16,110,0;17,110,0;7,500,0;12,10,0",2500,冰霜领主(異界),8,10,500,87,"372,100;373,100;374,100;513,100",999,9,187
999,30,1010,"169,100",0,"1,1",,15,"1,1",,"1,1",monster-icon-56,56,"13,100,1;15,1000,1;11,2,1;19,5,0;20,50,0;14,1,0;16,100,0;17,100,0;7,0,0;12,10,0",2500,陷阱增益(異界),0,0,1,88,"427,100",999,1,
999,30,80,"169,100",0,"582,590",,126,"582,590",,"582,590",monster-icon-57,57,"13,156,1;15,156,1;11,3114,1;19,5,0;20,50,0;14,1,0;16,130,0;17,130,0;7,480,0;12,10,0",3000,火岩守衛(異界),128,10,500,89,"452,100;467,100",999,7,164
999,30,80,"169,100",0,"582,590",,114,"582,590",,"582,590",monster-icon-58,58,"13,156,1;15,140,1;11,2802,1;19,5,0;20,50,0;14,1,0;16,130,0;17,130,0;7,480,0;12,10,0",3000,炫光小霸王(異界),128,10,500,90,"446,100;475,100",999,7,163
999,30,80,"169,100",0,"582,590",,120,"582,590",,"582,590",monster-icon-59,59,"13,148,1;15,163,1;11,3268,1;19,5,0;20,50,0;14,1,0;16,130,0;17,130,0;7,480,0;12,10,0",3000,巨岩守衛(異界),128,10,500,91,"441,100;468,100",999,7,165
999,50,700010,,0,"582,582",,1200,"582,582",,"582,582",monster-icon-60,60,"13,156,1;15,156,1;11,30370,1;19,5,0;20,50,0;14,1,0;16,130,0;17,130,0;7,500,0;12,10,0",2500,烈焰戰神(異界),640,10,500,98,"453,100;469,100;513,100",999,14,
999,100,700010,,0,"582,582",,1200,"582,582",,"582,582",monster-icon-61,61,"13,156,1;15,156,1;11,60740,1;19,5,0;20,50,0;14,1,0;16,130,0;17,130,0;7,500,0;12,10,0",2500,終焉魔君(異界),128,10,500,99,"443,100;456,100;444,100;479,100;513,100",999,21,191
999,30,90,"169,100",0,"587,590",,178,"587,590",,"587,590",monster-icon-62,62,"13,156,1;15,156,1;11,3130,1;19,5,0;20,50,0;14,1,0;16,135,0;17,135,0;7,250,0;12,10,0",3000,智眸鷹守(異界),256,10,500,92,"478,100;462,100",999,0,167
999,30,90,"169,100",0,"587,590",,161,"587,590",,"587,590",monster-icon-63,63,"13,156,1;15,140,1;11,2816,1;19,5,0;20,50,0;14,1,0;16,135,0;17,135,0;7,250,0;12,10,0",3000,星辰幼龍(異界),256,10,500,93,"435,100;474,100",999,0,166
999,30,90,"169,100",0,"587,590",,169,"587,590",,"587,590",monster-icon-64,64,"13,148,1;15,163,1;11,3286,1;19,5,0;20,50,0;14,1,0;16,135,0;17,135,0;7,250,0;12,10,0",3000,黃紋岩怪(異界),256,10,500,94,"466,100;463,100",999,0,168
999,50,800010,,0,"587,587",,1697,"587,587",,"587,587",monster-icon-65,65,"13,156,1;15,156,1;11,31690,1;19,5,0;20,50,0;14,1,0;16,135,0;17,135,0;7,500,0;12,10,0",2500,幽林魔導(異界),1280,10,500,100,"438,100;447,100;477,100;513,100",999,16,
999,100,800010,,0,"587,587",,1697,"587,587",,"587,587",monster-icon-66,66,"13,156,1;15,156,1;11,63380,1;19,5,0;20,50,0;14,1,0;16,135,0;17,135,0;7,500,0;12,10,0",2500,翱翔霸主(異界),256,10,500,101,"440,100;439,100;465,100;513,100",999,24,192
999,30,100,"169,100",0,"590,590",,252,"590,590",,"590,590",monster-icon-67,67,"13,157,1;15,141,1;11,2830,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,250,0;12,10,0",3000,笑面刺盾(異界),512,10,500,95,"473,100;464,100",999,0,171
999,30,100,"169,100",0,"590,590",,228,"590,590",,"590,590",monster-icon-68,68,"13,157,1;15,157,1;11,3146,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,250,0;12,10,0",3000,謎光古靈(異界),512,10,500,96,"445,100;472,100",999,0,169
999,30,100,"169,100",0,"590,590",,240,"590,590",,"590,590",monster-icon-69,69,"13,149,1;15,164,1;11,3302,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,250,0;12,10,0",3000,綠石雕靈(異界),512,10,500,97,"437,100;470,100",999,0,170
999,50,900010,,0,"590,590",,2400,"590,590",,"590,590",monster-icon-70,70,"13,157,1;15,157,1;11,33040,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,500,0;12,10,0",2500,螢光守衛(異界),2560,10,500,102,"458,100;457,100;476,100;513,100",999,18,
999,100,900010,,0,"590,590",,2400,"590,590",,"590,590",monster-icon-71,71,"13,157,1;15,157,1;11,66080,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,500,0;12,10,0",2500,綠焰戰神(異界),512,10,500,103,"455,100;454,100;471,100;534,100;513,100",999,27,193
999,150,500010,,0,"520,520",,212,"520,520",,"520,520",monster-icon-81,81,"13,132,1;15,132,1;11,41440,1;19,5,0;20,50,0;14,1,0;16,105,0;17,105,0;7,500,0;12,10,0",2000,Lv2 PvEP副本Boss(異界),4,10,500,114,"369,100;370,100;371,100;513,100",999,6,
999,50,700010,,0,"537,537",,300,"537,537",,"537,537",monster-icon-83,83,"13,145,1;15,145,1;11,47720,1;19,5,0;20,50,0;14,1,0;16,110,0;17,110,0;7,500,0;12,10,0",2500,Lv3 PvEP副本Boss(異界),8,10,500,115,"372,100;373,100;374,100;513,100",999,9,
999,50,800010,,0,"552,552",,424,"552,552",,"552,552",monster-icon-85,85,"13,151,1;15,151,1;11,51920,1;19,5,0;20,50,0;14,1,0;16,115,0;17,115,0;7,500,0;12,10,0",2500,Lv4 PvEP副本Boss(異界),16,10,500,116,"408,100;409,100;422,25;513,100",999,12,
999,50,900010,,0,"565,565",,600,"565,565",,"565,565",monster-icon-87,87,"13,153,1;15,153,1;11,55220,1;19,5,0;20,50,0;14,1,0;16,120,0;17,120,0;7,500,0;12,10,0",2500,Lv5 PvEP副本Boss(異界),32,10,500,117,"410,100;411,100;423,25;513,100",999,15,
999,100,100010,,0,"575,575",,848,"575,575",,"575,575",monster-icon-89,89,"13,155,1;15,155,1;11,58060,1;19,5,0;20,50,0;14,1,0;16,125,0;17,125,0;7,500,0;12,10,0",2500,Lv6 PvEP副本Boss(異界),64,10,500,118,"412,100;413,100;414,100;424,100;513,100",999,18,
999,100,200010,,0,"582,582",,1200,"582,582",,"582,582",monster-icon-90,90,"13,156,1;15,156,1;11,30370,1;19,5,0;20,50,0;14,1,0;16,130,0;17,130,0;7,500,0;12,10,0",2500,烈焰戰神(異界),640,10,500,110,"453,100;469,100;513,100",999,14,
999,100,300010,,0,"582,582",,1200,"582,582",,"582,582",monster-icon-91,91,"13,156,1;15,156,1;11,60740,1;19,5,0;20,50,0;14,1,0;16,130,0;17,130,0;7,500,0;12,10,0",2500,終焉魔君(異界),128,10,500,119,"443,100;456,100;444,100;479,100;513,100",999,21,
999,100,400010,,0,"587,587",,1697,"587,587",,"587,587",monster-icon-92,92,"13,156,1;15,156,1;11,31690,1;19,5,0;20,50,0;14,1,0;16,135,0;17,135,0;7,500,0;12,10,0",2500,幽林魔導(異界),1280,10,500,111,"438,100;447,100;477,100;513,100",999,16,
999,100,500010,,0,"587,587",,1697,"587,587",,"587,587",monster-icon-93,93,"13,156,1;15,156,1;11,63380,1;19,5,0;20,50,0;14,1,0;16,135,0;17,135,0;7,500,0;12,10,0",2500,翱翔霸主(異界),256,10,500,120,"440,100;439,100;465,100;513,100",999,24,
999,100,600010,,0,"590,590",,2400,"590,590",,"590,590",monster-icon-94,94,"13,157,1;15,157,1;11,33040,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,500,0;12,10,0",2500,螢光守衛(異界),2560,10,500,112,"458,100;457,100;476,100",999,18,
999,100,600010,,0,"590,590",,2400,"590,590",,"590,590",monster-icon-95,95,"13,157,1;15,157,1;11,66080,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,500,0;12,10,0",2500,綠焰戰神(異界),512,10,500,121,"455,100;454,100;471,100;534,100;513,100",999,27,
4,30,50,"169,100",0,"552,575",,40,"552,575",374383,"552,575",monster-icon-96,96,"13,151,1;15,151,1;11,1505,1;19,5,0;20,50,0;14,1,0;16,115,0;17,115,0;7,500,0;12,10,0",1500,骷髏士兵,16,20,100,128,"393,100",4,4,47
4,50,50,"169,100",0,"552,575",,42,"552,575",375384,"552,575",monster-icon-97,97,"13,143,1;15,158,1;11,1580,1;19,5,0;20,50,0;14,1,0;16,115,0;17,115,0;7,500,0;12,10,0",1500,橙葉蛋頭,16,30,100,129,"394,100",4,4,48
4,30,50,"169,100",0,"552,575",,40,"552,575",376385,"552,575",monster-icon-98,98,"13,143,1;15,158,1;11,1580,1;19,5,0;20,50,0;14,1,0;16,115,0;17,115,0;7,500,0;12,10,0",1500,憤怒樹樁,16,10,100,130,"395,100",4,4,49
5,30,60,"169,100",0,"565,582",,57,"565,582",377386,"565,582",monster-icon-99,99,"13,153,1;15,153,1;11,1534,1;19,5,0;20,50,0;14,1,0;16,120,0;17,120,0;7,500,0;12,10,0",1500,骷髏隊長,32,10,150,131,"396,100;417,100",5,0,50
5,50,60,"169,100",0,"565,582",,63,"565,582",378387,"565,582",monster-icon-100,100,"13,145,1;15,160,1;11,1610,1;19,5,0;20,50,0;14,1,0;16,120,0;17,120,0;7,500,0;12,10,0",1500,暗黑巨目,32,20,150,132,"397,100",5,0,51
5,30,60,"169,100",0,"565,582",,60,"565,582",379388,"565,582",monster-icon-101,101,"13,153,1;15,137,1;11,1380,1;19,5,0;20,50,0;14,1,0;16,120,0;17,120,0;7,500,0;12,10,0",1500,黑化雪精靈,32,30,150,133,"398,100;405,100",5,0,52
6,30,70,"169,100",0,"575,587",,89,"575,587",380389,"575,587",monster-icon-102,102,"13,147,1;15,162,1;11,1625,1;19,5,0;20,50,0;14,1,0;16,125,0;17,125,0;7,500,0;12,10,0",1500,冰球巨龜,64,30,200,134,"399,100",6,0,53
6,30,70,"169,100",0,"575,587",,80,"575,587",381390,"575,587",monster-icon-103,103,"13,155,1;15,139,1;11,1393,1;19,5,0;20,50,0;14,1,0;16,125,0;17,125,0;7,500,0;12,10,0",1500,骷髏弓箭手,64,20,200,135,"400,100;406,100",6,0,54
6,30,70,"169,100",0,"575,587",,84,"575,587",382391,"575,587",monster-icon-104,104,"13,147,1;15,147,1;11,1548,1;19,5,0;20,50,0;14,1,0;16,125,0;17,125,0;7,500,0;12,10,0",1500,雪兔巫師,64,10,200,136,"401,100;407,100",6,0,55
999,100,900010,,0,"590,590",,2400,"590,590",,"590,590",monster-icon-109,109,"13,157,1;15,157,1;11,39325,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,600,0;12,10,0",1500,幽灵主教,512,10,500,146,"514,100;520,100;522,100;516,100;518,100;519,100;514,100;515,100;521,100;513,100",999,0,144
999,100,900010,,0,"590,590",,2400,"590,590",,"590,590",monster-icon-110,110,"13,157,1;15,157,1;11,39325,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,600,0;12,10,0",1500,流浪刀侍,512,10,500,147,"523,100;524,100;526,100;529,100;528,100;513,100",999,0,143
999,100,900010,,0,"575,587",,240,"575,587",,"575,587",monster-icon-111,111,"13,155,1;15,155,1;11,38700,1;19,5,0;20,50,0;14,1,0;16,125,0;17,125,0;7,500,0;12,10,0",1500,南瓜蝙蝠,512,10,500,148,"532,100",999,0,
7,30,80,"169,100",0,"582,590",,114,"582,590",,"582,590",monster-icon-112,112,"13,156,1;15,140,1;11,1401,1;19,5,0;20,50,0;14,1,0;16,130,0;17,130,0;7,480,0;12,10,0",1500,耀眼小霸主,128,10,500,155,"446,100;475,100",7,7,176
7,30,80,"169,100",0,"582,590",,126,"582,590",,"582,590",monster-icon-113,113,"13,156,1;15,156,1;11,1557,1;19,5,0;20,50,0;14,1,0;16,130,0;17,130,0;7,480,0;12,10,0",1500,火岩哨兵,128,10,500,154,"452,100;467,100",7,7,177
7,30,80,"169,100",0,"582,590",,120,"582,590",,"582,590",monster-icon-114,114,"13,148,1;15,163,1;11,1634,1;19,5,0;20,50,0;14,1,0;16,130,0;17,130,0;7,480,0;12,10,0",1500,巨大岩石哨兵,128,10,500,156,"441,100;468,100",7,7,178
8,30,90,"169,100",0,"587,590",,169,"587,590",,"587,590",monster-icon-115,115,"13,148,1;15,163,1;11,1643,1;19,5,0;20,50,0;14,1,0;16,135,0;17,135,0;7,250,0;12,10,0",1500,黃紋岩獸,256,10,500,159,"466,100;463,100",8,0,181
8,30,90,"169,100",0,"587,590",,178,"587,590",,"587,590",monster-icon-116,116,"13,156,1;15,156,1;11,1565,1;19,5,0;20,50,0;14,1,0;16,135,0;17,135,0;7,250,0;12,10,0",1500,睿智之眼鷹守衛,256,10,500,157,"478,100;462,100",8,0,180
8,30,90,"169,100",0,"587,590",,161,"587,590",,"587,590",monster-icon-117,117,"13,156,1;15,140,1;11,1408,1;19,5,0;20,50,0;14,1,0;16,135,0;17,135,0;7,250,0;12,10,0",1500,星光幼龍,256,10,500,158,"435,100;474,100",8,0,179
9,30,100,"169,100",0,"590,590",,228,"590,590",,"590,590",monster-icon-118,118,"13,157,1;15,157,1;11,1573,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,250,0;12,10,0",1500,神秘光之精靈,512,10,500,161,"445,100;472,100",9,0,182
9,30,100,"169,100",0,"590,590",,240,"590,590",,"590,590",monster-icon-119,119,"13,149,1;15,164,1;11,1651,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,250,0;12,10,0",1500,綠石雕刻精靈,512,10,500,162,"437,100;470,100",9,0,183
9,30,100,"169,100",0,"590,590",,252,"590,590",,"590,590",monster-icon-120,120,"13,157,1;15,141,1;11,1415,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,250,0;12,10,0",1500,微笑尖刺盾,512,10,500,160,"473,100;464,100",9,0,184
999,50,999999,"169,100",0,"590,590",,240,"590,590",,"590,590",monster-icon-121,121,"13,2,1;15,10000,1;11,500000,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,500,0;12,10,0",2500,阿萨克兹(異界),0,10,500,151,"548,100;549,100",999,0,
999,50,999999,"169,100",0,"590,590",,240,"590,590",,"590,590",monster-icon-122,122,"13,2,1;15,10000,1;11,500000,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,500,0;12,10,0",2500,盖塔诺萨(異界),0,10,500,152,"552,100;553,100",999,0,
999,50,999999,"169,100",0,"590,590",,240,"590,590",,"590,590",monster-icon-123,123,"13,2,1;15,10000,1;11,500000,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,500,0;12,10,0",2500,戈洛纳克(異界),0,10,500,153,"550,100;551,100",999,0,
